MF: LIHC,METH: LIHC,GE: LIHC
0,0,0
0.024830183,0.021285892,0.09757601
0,0.022140607,0.09778049
0.024972167,0.030794792,0.06967849
0,0.005806181,0.031221306
0,0.006209821,0.060893416
0,0.41384417,0.094022095
0,0.021491759,0.05367774
0,0.003541414,0.04530926
0.050087154,0.009887702,0.019062744
0.025011986,0.010590124,0.066032186
0.025013655,0.034639515,0.04247102
0,0.16407691,0.11236955
0,0.09443346,0.3088512
0,0.119369514,0.13158369
0,0.00370153,0.07762439
0.024910117,0.008323207,0.01357431
0.024942445,0.004543886,0.017965654
0,0.006562884,0.009990219
0,0.003208367,0.07602762
0,0.016758787,0.008375933
0.024941782,0.001327222,0.062140014
0.09598815,0.007023652,0.003253821
0.025027683,0.06813364,0.041075893
0.024941051,0.001383638,0.03218635
0,0.011888374,0.06786952
0,0.001513786,0.11618146
0,0.001589001,0.04832437
0.025056077,0.019105047,0.041034047
0,0.023989055,0.009970852
0,0.031138899,0.037071
0,0,0
0.04949449,0.002732347,0.0979028
0,0,0
0,0.005602679,0
0,0.017387964,0.2128222
0.049481165,0.001228525,0.21464486
0,0.000606885,0.07902085
0,0.01715714,0.07144199
0,0.015616081,0.05137297
0,0.037191223,0.047420636
0,0.20939328,0.044412322
0,0.07269429,0.11274977
0.024939058,0.03604729,0.04269415
0.024779186,0.06574398,0.021573497
0.025058433,0.009990704,0.05977778
0.024970787,0.019180037,0.06178551
0,0.02504374,0.031004565
0,0.12516181,0.043079924
0,0.003650684,0.10147115
0,0.002807484,0.012185821
0.09893473,0.049345322,0.122384064
0,0.07138008,0.035608802
0,0.031391118,0.07187892
0,0.057807684,0.005276733
0,0.001984212,0.024048652
0,0.009919337,0.013404781
0,0.009571833,0.015996493
0,0.01550652,0.09552907
0,0.009803298,0.04265618
0,0.103162006,0.014666443
0.024974624,0.000396638,0.049866125
0,0.018198889,0.03971886
0.024838146,0.015718276,0.01743918
0,0.039434858,0.017982727
0.025028707,0.009648344,0.040597394
0,0.005616361,0.02764932
0.049730185,0.06840347,0.02391027
0.024953593,0.002315615,0.064746976
0,0.012163743,0.00219525
0.025027327,0.22360744,0.19250852
0.049851995,0.007149353,0.001619331
0.025042519,0.11160958,0.018561576
0,0.003789603,0.16823113
0,0.003747079,0.0905343
0,0.02338783,0.019518202
0.02458186,0.004112887,0.021594414
0,0.03204818,0.049567983
0,0.031311374,0.07776316
0.024871118,0.001625376,0.02904978
0,0.00619852,0.029100379
0.025068868,0.21930988,0.097093776
0.025022725,0.002862284,0.028995933
0,0,0.021397337
0,0.022330651,0.036983732
0.024774555,0.010505783,0.017612493
0,0.007319893,0.061272748
0.024888577,0.40008432,0.16689064
0.024792053,0.08948801,0.039655678
0.07238485,0.17284575,0
0.049169295,0.36765057,0
0,0.010403781,0.042651825
0,0.001827535,0.03739843
0,0.11101522,0.029414408
0,0.003733172,0.028059443
0,0.003047755,0.039170098
0,0.010255389,0.078192264
0.02505389,0.012880507,0.066568844
0,0.007666665,0.04099917
0.023529708,0.005745469,0.083031684
0,0.042407863,0.12266077
0,0.28712586,0.25074112
0,0.009799204,0.12975396
0,0.024090927,0.010365934
0.09962284,0.009714324,0.010767278
0,0.003428837,0.11638273
0,0.007852403,0.034093294
0.0497138,0.05447054,0.11915221
0,0.028113825,0.048870612
0,0.02235211,0.10601783
0,0.017233776,0.38712063
0.024936013,0.008351256,0.1314226
0,0.014776044,0.06166856
0.024662688,0.34313485,0.017001748
0,0.011167564,0.047490843
0,0.040457528,0.027626736
0,0.00152986,0.07309274
0.024759801,0.05650586,0.092949234
0,0.003987554,0.082266346
0,0.16767083,0.070715755
0,0.5019769,0.05984699
0,0.034129877,0.05982795
0.07347207,0.15939718,0.21285485
0.049496967,0.003972702,0.02400215
0.02499754,0.06360006,0.011729774
0.074913,0.007763204,0.046175808
0,0.14276288,0.038625315
0,0.017400585,0.000733895
0,0.003122547,0.09244339
0.09321585,0.026761133,0.001326292
0.024617437,0.3665897,0.04980866
0.025025854,0.0705939,0.005211314
0,0,0
0,0.000249879,0.0032568
0,0.009673154,0.038463466
0.025042564,0.15069687,0.19946034
0.07450745,0.002583938,0.028067814
0.07451063,0.01626276,0.039815422
0.02498415,0,0.04181046
0.075103216,0.12345884,0.15379333
0.025017073,0.17045034,0.19098231
0,0.043493915,0.12158999
0,0.04428205,0.13264151
0,0.003647481,0.13671218
0,0.14540929,0.108603664
0,0.04098386,0.06598535
0.07408436,0.029446598,0.04898935
0.025049482,0.1358662,0.074741304
0.024835985,0.05639138,0.11845625
0,0.0063812,0.027546134
0,0.001207538,0.061298925
0,0.017649863,0.05986751
0.048948903,0.51018584,0.083311334
0,0.057393335,0.12779002
0,0.24564433,0.001861233
0,0.07145911,0.06752011
0,0.35592985,0.119654916
0,0.0993271,0
0.02500703,0,0.048837148
0,0.13733755,0
0,0.3633154,0
0,0,0.33795518
0,0.030422457,0.10565454
0,0.069183476,0.19042304
0,0.08643796,0.09440295
0,0.5772729,0
0,0.47833982,0
0,0.100789726,0
0,0,0.04407158
0,0.07943477,0.041407835
0.0249881,0.3040074,0.3852562
0,0.708576,0
0,0.003077584,0.061940182
0,0.020527836,0.05923766
0,0.000327928,0.070739314
0,0.008444271,0
0.0498555,0.06193174,0.05879648
0.02454468,0.16956238,0.030048858
0,0.013154171,0.15158993
0.049753197,0.58742994,0.10688529
0.02496914,0.00287168,0.034357734
0,0.009833892,0.010299907
0,0.008335399,0.04366618
0,0,0.025733134
0,0.11184681,0.1910796
0,0.1778386,0.032009427
0,0.4481987,0.14974517
0.07419104,0.42216054,0.4775646
0.024300227,0.13028923,0.17428583
0.024454068,0.17538133,0.30270898
0,0.004179576,0.021826776
0.024984179,0,0.07899334
0,0.19986556,0.11134565
0.075029194,0,0.082967214
0,0.1008747,0.058858156
0,0.16273148,0.093461126
0.05008141,0.3676142,0
0.025050785,0.34329414,0.11313076
0,0.15356658,0.1094858
0.025039814,0.037065696,0.004794154
0.049832627,0.09176458,0.03237314
0.025039414,0.017691435,0.005284463
0,0.000743018,0.039511405
0.024882106,0.005744418,0.009872435
0.024889177,0.020546997,0.031160964
0.024905082,0.16791032,0.041123193
0,0.06276802,0.11661895
0,0,0.24953987
0.024870366,0.002075474,0.043381415
0.025012493,0.001908006,0.01638324
0,0.538747,0
0.049921535,0.030402428,0.001797867
0,0.106484905,0.08741556
0,0.3037049,0.101562984
0,0.005763079,0.056941118
0.024722647,0.09964842,0.06762893
0,0,0.05744735
0.02494961,0.010319592,0.049664505
0.074925356,0.10357559,0.33544657
0,0.047688592,0.09206367
0,0.13080034,0.17468438
0,0.003858596,0.38141358
0.025053522,0.07408321,0.3429383
0.07453189,0.011915033,0.39573005
0,0.030033642,0.038865987
0,0.29556304,0
0,0.39796847,0.05426897
0.025046265,0.010936121,0.045777876
0,0.25067356,0.55913967
0,0.02598077,0
0,0.07248947,0.6340519
0.024987929,0.049994834,0
0,0.081712164,0.01097798
0,0.002786801,0.02236507
1,0,0.028071208
0,0.008818452,0.0332959
0.02479858,0,0.06407186
0,0.00033259,0.001613287
0.049985927,0.011700393,0.060940236
0,0.00235153,0.002978997
0,0.012612039,0.018553218
0.025046257,0.0755507,0.17777905
0.024924053,0.103704125,0.025220953
0,0.009096101,0.018588105
0.04958339,0.007178081,0.06756987
0.04859656,0.18358426,0.15810263
0,0.13152778,0.0394858
0,0.18717292,0
0.050051488,0.03695381,0.15329428
0.12475175,0.007376435,0.008728319
0.049625237,0.002265209,0.008726332
0.025037654,0.3303266,0.032076914
0.024850093,0.010524669,0.032968946
0,0.20280468,0.10063985
0,0.10011333,0.13534604
0,0.001238182,0
0,0.004563747,0
0,0.13281673,0
0,0.005121899,0
0,0.043124333,0.015886515
0,0.094371386,0.16076712
0.049998574,0.01085105,0.017315311
0.049949344,0.2672265,0.072875656
0.074812755,0.2806818,0.035403594
0.050025683,0.000917062,0.029780146
0.024941215,0,0.09013848
0,0.072769985,0.083464384
0,0,0.04480473
0,0.000586991,0.006512086
0.025018482,0.013229467,0.03599392
0.07485908,0.01281698,0.034388162
0.023821773,0.0193765,0.004317686
0,0.00497049,0.039391242
0,0.076382294,0.17208514
0.024866536,0.004832659,0.03972993
0.048386164,0.046468258,0.28233644
0.024951553,0.08633478,0.149736
0.025021963,0.121333696,0.1782811
0.049945366,0.08998845,0.18968043
0,0.011739048,0.028120799
0.049999017,0.003816472,0.017088398
0,0,0
0,0.008911181,0.063418075
0,0.5596087,0.06085683
0,0.51599216,0
0.024772473,0,0.081059456
0.024994195,0.47879824,0.14663023
0,0.6185031,0.19931316
0,0.62022275,0.1698008
0.024975065,0.30501887,0.07241331
0.024983373,0.58882344,0.010099909
0.099461436,0.4850997,0.08227104
0.02502914,0.001447568,0.118069224
0,0.031576153,0.0165686
0.27293545,0.040288065,0.15113962
0,0,0.02317895
0,0.008247611,0.047032394
0.07494744,0.062344205,0.13714863
0,0.005130691,0.052099597
0,0.004856614,0.087437734
0,0.009825664,0.026950723
0,0.02065492,0.005173306
0,0.19041653,0.011274525
0,0,0.000348489
0,0.010524414,0.027019795
0,0.04444721,0.057671897
0,0.032553755,0.14814685
0,0.002919632,0.015272911
0,0.026744049,0.014911589
0.024896704,0.000106927,0.076309055
0.024949033,0.07227201,0.040904775
0.074568,0.07074692,0.012976406
0.09975001,0.012579168,0.22784993
0,0.10969374,0.033070404
0.04958325,0.041490816,0.4055772
0,0.051384166,0.38091362
0,0.08624019,0.013806029
0,0.002393341,0.021084791
0,0.055189274,0.13202587
0,0.08982024,0.16866845
0,0.00177576,0.055246644
0.049692605,0.006051986,0.019903209
0.124308996,0.17865176,0.087729014
0.025070526,0.049062535,0.006347986
0,0,0.17067918
0,0.06524815,0.041338645
0.024829207,0,0.059817757
0,0.000387416,0.005086473
0,0.038397864,0.111232944
0.049931742,0.33786225,0.18523748
0,0.21930781,0.22876027
0,0,0.032246985
0.02500357,0.021777939,0.09033671
0,0.08128678,0.08445193
0,0.08439201,0.043287504
0.02506442,0.3454175,0.003658326
0,0.2845796,0.14624383
0.025069531,0.21863402,0.1701584
0,0.5571932,0.2821242
0,0.003875713,0.07798391
0,0.01084864,0.42320073
0,0.19243114,0.08395266
0.0749867,0.13513178,0.104534514
0,0.058769424,0.028123077
0,0.096399575,0.095301434
0.075137265,0.003588275,0.023129076
0,0.066380344,0.06450178
0,0.000441717,0.08082018
0,0.006199725,0.01495756
0.05010272,0.054673705,0.01259071
0.025067182,0,0.024454502
0,0.001000279,0.05284817
0.025054283,0.003775751,0.22125785
0,0.031610258,0.13078332
0.05002706,0.004580097,0.036532328
0,0.006371617,0.07269809
0,0.012449864,0.17298485
0,0.006190802,0.04530185
0,0,0
0.025041943,0.04383018,0.08818272
0.02482788,0.55780965,0.15949236
0,0.003045629,0
0.050065394,0.003529419,0.003858564
0,0.001180052,0.08371074
0,0.090843886,0.07443557
0.024607936,0.002417855,0.015657015
0.024844864,0.35316265,0.06085369
0.04977724,0.29247248,0.092744775
0,0.13958131,0.013172764
0,0.00263542,0.30550998
0,0.03521487,0.38238797
0.025018549,0.006582455,0.22105628
0,0.003260864,0.09874758
0,0.006359579,0.044849847
0,0.045660023,0.24676155
0,0.021439387,0.21193974
0,0.021752825,0.3365096
0,0.04354526,0.09156282
0,0.004924156,0.18268342
0,0.14290091,0
0.050008155,0.010327297,0.33503512
0.024472818,0.003533692,0.23699485
0,0.005221401,0.020491734
0,0,0.012541488
0,0.044305637,0.14553972
0,0.120410584,0.35688657
0,0.002046779,0.070933565
0.024927348,0.015483909,0.039737992
0,0.011424514,0.023485042
0.024980886,0.003967144,0.08568758
0,0.057600383,0.13636781
0,0.008208649,0.034642003
0,0.001777054,0.05520384
0,0.028141042,0.033575952
0.02494184,0.38150766,0.022573521
0,0.103652306,0.0726017
0,0.022093644,0.03851356
0,0.001091634,0.024173079
0.024835287,0.004601803,0.034079734
0,0.004585026,0.14989565
0.049707334,0.033927374,0.11284677
0,0.021446515,0.027010933
0,0.012731229,0.028889313
0.024945518,0.40816972,0.041114792
0,0.1821171,0
0,0,0
0,0.004189373,0.06661428
0.099618696,0.24929713,0.03322839
0.049538072,0,0.23090287
0,0.31209055,0
0.049939763,0.36722437,0.19088548
0,0.22044553,0
0,0.11580357,0
0.025040671,0.039657965,0
0,0.3640495,0.010533406
0,0,0
0,0.020100197,0.08420959
0,0.04302857,0
0.07461697,0.06835488,0.078530185
0,0.079431534,0.1934968
0.024989847,0.064296365,0.11615393
0,0,0
0,0.009520439,0.055064317
0,0.005020115,0.099386536
0.024808414,0.011249923,0.036384147
0.024980532,0.002336333,0.024861185
0,0.053678207,0.05177714
0.02487355,0.11089254,0.10143695
0.049938153,0.015076271,0.16416514
0.04987803,0.004696364,0.023473827
0,0,0.030066103
0.02504638,0,0.036506265
0.024967168,0.001017287,0.008900341
0,0.007267483,0
0.025023712,0.09019374,0.03746053
0.024980688,0.2420392,0.1313568
0,0.005622975,0.14290293
0.025017463,0.02771536,0.093243286
0,0.09666031,0.029840233
0,0.003922985,0.013560904
0,0.2019524,0.032093924
0,0.059661318,0.022564614
0,0.16160434,0.11290146
0.049402684,0.1187014,0.009911264
0.025009826,0,0.059938937
0,0.11860174,0.005556617
0.025040722,0.09445486,0.14277278
0.025058143,0.22241363,0.25771365
0,0.027192703,0.13240297
0.049814127,0.053305402,0.12905978
0,0.44932917,0.08389995
0.02501828,0.10520518,0.048065934
0.049872726,0.07474614,0.03569889
0,0.12037045,0.029007992
0,0,0.042678464
0,0.07740638,0.08823639
0,0.002557326,0.029014057
0,0.025089735,0.059154812
0,0.000289637,0.02622773
0,0.025854245,0.006623298
0,0.009364713,0.04634673
0.02502858,0.06069589,0.019025171
0,0.0335186,0.1776007
0,0.037191063,0.063661784
0,0.15190208,0.19158915
0,0.004730673,0.025529044
0,0.008491779,0.06880361
0,0.026238551,0.006120907
0,0,1
0.025001224,0.000939062,0.21066645
0,0.061729383,0.119561955
0.074719645,0.15053155,0.022145648
0.024740273,0.29285428,0.044118762
0,0.02095754,0.008203264
0.024952196,0.13521071,0.052362703
0.050021265,0.17302097,0.06849644
0.024965055,0.059869926,0.018478535
0,0.27067798,0.04989895
0,0.39992398,0.070545435
0.025026567,0.17249136,0.2234293
0.025026089,0.051322665,0.08178956
0,0.33908752,0.001061197
0,9.02E-06,0.08380623
0,0,0
0,0.016099611,0.015213993
0,0.020398205,0.048179116
0,0.019254033,0.018085226
0.024817832,0.21226786,0.14365834
0,0,0.08174009
0,0.07791674,0.14841199
0,0.21064164,0.14749707
0,0.11750644,0.020309834
0.024849635,0.009308946,0.1343448
0,0.11219887,0.104521416
0,0.046656102,0.059085485
0,0.012324205,0.04790452
0,0.001599248,0.07387314
0,0.110196814,0.06267437
0.02489507,0.00678305,0.030578973
0,0.011344502,0.1792717
0,0.096684255,0.000933468
0,0.040767904,0.22702749
0,0.08184993,0.021777095
0,0.067660145,0.003187161
0,0.04569635,0.1855668
0,0.11921603,0
0.07465865,0.0324659,0.21083766
0,0.3748218,0
0,0.27462167,0.08315695
0.024994679,0,0
0,0.32847732,0
0,0.36490664,0
0,0.098405994,0.05201374
0,0.015091442,0.14668119
0.04998471,0.012225267,0.00096354
0,0.48351616,0.091518216
0.025002556,0.16745858,0.1382773
0,0.05122209,0.2042711
0,0.017193351,0.15147687
0.04939819,0.19951929,0.020126443
0.024942497,0,0.12609778
0.050065447,0.16973391,0.08592026
0.07288526,0.019749222,0.03382075
0,0.000282394,0.022456553
0,0.0009633,0.002231399
0.02372381,0.001206964,0.041118067
0,0,0.2136425
0,0,0.33923212
0,0.33536845,0
0,0.40385735,0.054665886
0.024831748,0,0.0255147
0.025063891,0.4187617,0.121264294
0.024762139,0.2515945,0
0,0.39372033,0
0,0.014786975,0.06976262
0,0.19923836,0.07128388
0.024988627,0.04752174,0.06716521
0.024869317,0.012678889,0.037869014
0,0.1005499,0.042365726
0,0.065679915,0.13654262
0,0,0.4540475
0,0.32711712,0.07376309
0.023277719,0.00271652,0.115947105
0,0.008411143,0.023669971
0,0.33366078,0
0,0.5515601,0
0,0.016633358,0.018147483
0.04888611,0.36253327,0.06264784
0,0.1705768,0.059797905
0,0.3227629,0
0.050084963,0.24396099,0.16567083
0.025021804,0.000952938,0.020708904
0,0.2530021,0
0,0.026430242,0.13107571
0,0.02118036,0.037943043
0,0.047260135,0.14104737
0,0.011000327,0.25786772
0.024411555,0.08896378,0.007159123
0,0.002820982,0.05468598
0,0.17894699,0.05715466
0,0.60669523,0.011973999
0,0.095971845,0.009424488
0,0.011557309,0.06014542
0.024900362,0.017499857,0.06732662
0,0.025868619,0.030224895
0.024949303,0.006061111,0.004876618
0.049513318,0.1295098,0.059490014
0,0.052000787,0.04658559
0,0.17460111,0
0,0.014752409,0.024766989
0,0.004529431,0.042564575
0,0,0.050548438
0,0.21186748,0.020895986
0,0,0.000950748
0,0,0.024516895
0,0.72134054,0.021445934
0,0.1553983,0.089020215
0,0.13668032,0.071896635
0,0.31869283,0.07472205
0.025019063,0.004099364,0.027181394
0.0993904,0.004749713,0.051210113
0,0.033033174,0.055738613
0,0.09433754,0.023486944
0,0.13678876,0.037050284
0,0.28008184,0.021260887
0,0.17545354,0.021568265
0,0.029698309,0.013046593
0.024894863,0.007959145,0.04839713
0,0.4326197,0.048983157
0,0.05321537,0.16239849
0.02501673,0.1421318,0.21327996
0,0.32381767,0.15698554
0,0.102945834,0.041279595
0,0,0
0,0.08063827,0.053924732
0,0.19115295,0.109632045
0.074691325,0.19957553,0.16292223
0,0.19966985,0
0.024754435,0.41020054,0.021660205
0,0.044475496,0.009065933
0.024788093,0.17142414,0.08219794
0,0.17654142,0.039050523
0.025021123,0.016375393,0.28512406
0.024911735,0.10688568,0.033880416
0,0,0
0.024786843,0.3215051,0.079794034
0.049442515,0.001725235,0.00788237
0.07361233,0.006489601,0.13350001
0.024660878,0.01604856,0.014612883
0,0.024121491,0.044507507
0,0.009549847,0.0476933
0.024935527,0.01187205,0.0486531
0.049717363,0.015372951,0.014624704
0,0.1667439,0
0,0,0.00304062
0.024682278,0.019947808,0.127381
0.024913548,0.005644898,0.24758022
0,0.020009696,0.013330155
0,0.004998677,0.03862022
0.024855075,0.02165624,0.0723207
0,0.000847177,0.113327414
0.024266813,0,0.083155096
0.024829999,0.000466395,0.021923685
0.075038485,0.00532876,0.029360157
0,0.035884187,0.024230268
0,0.007991,0.045986246
0,0.006272442,0.010250746
0,0.022991931,0.007725069
0.024773713,0.009327489,0.078567185
0.121692605,0.05936336,0.27948192
0.049387038,0.19426215,0.0330121
0.025053449,0.040351342,0.3770241
0,0.026480675,0.036393665
0,0.09709596,0.07792008
0.07500335,0,0.05831212
0.02469198,0.22333123,0.05941037
0.024911737,0.050141424,0.094997115
0.024923379,0.045235332,0.118107654
0,0,0.12363781
0.049943592,0.000645188,0.18042724
0,0.10001077,0.10159459
0.024947407,0.16981629,0.09769379
0.04953683,0.018606285,0.16191831
0.024300424,0.004705597,0.028387824
0.04985147,0.12701042,0.21351045
0,0.006426264,0.082252905
0,0.002737743,0.03086132
0,0,0.2242309
0,0.0730472,0.040060483
0.025048006,0.008252593,0.063064024
0,0,0.28011793
0,0.08510979,0.27840003
0,0.069829114,0.25912896
0,0.003468623,0.045527976
0.024999717,0.046518065,0.072268106
0,0.005875507,0.111756384
0.050038446,0.006034993,0.021555698
0,0.006597037,0.059194904
0,0.015043772,0.046208486
0.024804058,0.017690567,0.04977204
0.024930082,0.02096978,0.027017627
0,0.14957222,0.017209094
0,0.00618895,0.06620582
0,0.064352885,0.08252741
0,0.19279836,0.17598516
0.07503953,0.11668664,0.052336592
0.1242621,0.062946,0.09531525
0,0.013921412,0.05026871
0,0.47244996,0.04294826
0,0.001867835,0.018649956
0,0.019263912,0.08953424
0.024799997,0,0.018541243
0,0.07054841,0.002825887
0.02503869,0.20505011,0.122482814
0.025019586,0.15442693,0.11783568
0,0.053702425,0.05752478
0.025006326,0.01094499,0.07027462
0,0.014735848,0.042954195
0.124574415,0.13446821,0
0,0.045812853,0.009401731
0.07486451,0.03180447,0.058684
0,0.032794803,0.09319156
0.024985885,0.06741981,0.049848847
0.024992675,0.005967456,0.06001015
0,0,0
0,0.023346089,0.041669376
0,0.121483326,0.026992124
0.02500833,0.21271576,0.030202901
0.17402019,0.48984972,0.010680187
0,0.00683956,0.015354935
0,0.017719014,0.034388207
0,0.006951574,0.04737006
0.049012944,0.14719641,0.13878748
0.049392574,0.506494,0.21595778
0,0.05714361,0.2610616
0,0.15095037,0.054782294
0.024700545,0,0.043564685
0,0.03183362,0.09935272
0.050068088,0.15458909,0.008301481
0.024823122,0.06129252,0.16617538
0.024918437,0.000264335,0.002020409
0.023389809,0.01222543,0.058478087
0.04947913,0.012065709,0.014273541
0,0.000856065,0.05346558
0.024953438,0.005154316,0.06835541
0,0.008791222,0.04409309
0,0.008049474,0.022368541
0,0,0.07753808
0,0.006273148,0.007113653
0,0.000401153,0.022226661
0,0.004176458,0.08984733
0,0.042293467,0.067658395
0,0.008748498,0.034991823
0,0.001240115,0.004891604
0.049962867,0.013993226,0.04103035
0.02503132,0.025447106,0.009432437
0,0.001074621,0.011717018
0.024413748,0.001742407,0.035227187
0.07449942,0.000663483,0.025799755
0.023197979,0.012243154,0.073478654
0.074735686,0.31786954,0.40005052
0.024581041,0.060172398,0.049882267
0.025032463,0.43400204,0
0,0.008136204,0.031105326
0,0.11962924,0.091558695
0,0.004793305,0.05014667
