MF: LUAD,METH: LUAD,GE: LUAD
0,0.21883707,0.072031796
0.040765442,0.013361828,0.17455053
0.020116108,0.011993019,0.09115468
0,0.022063136,0.0662772
0,0.004589298,0.07158808
0.020433165,0.010355824,0.10223295
0.020293467,0.094882905,0.022008646
0.040963043,0.030913511,0.074891694
0.0203061,0.25860456,0.11487168
0.09880336,0.11443213,0.22901517
0,0.004748983,0.31394678
0,0.13071439,0.13238636
0,0.004681735,0.029592685
0,0.108906016,0.16017681
0,0.053547736,0.15037517
0.020343479,0.004336992,0.029513085
0,0.006595156,0.1434881
0.07799447,0.17204982,0.045184102
0,0.09721264,0.19305414
0,0,0.12419055
0.020457443,0.115491085,0.005369921
0.019890377,0,0.21624602
0,0.003253092,0.05794432
0.13956788,0.24429752,0.16370925
0.039842848,0.17341438,0.28809357
0.020561239,0.28631762,0
0.06145537,0,0
0.10197538,0.0145188,0.07216297
0,0.0639287,0.213283
0,0.10070049,0.055020392
0,1,0.01798481
0.18054609,0.03944687,0.2154028
0,0.10233997,0.06599507
0,0.4938232,0.22649096
0,0.003830571,0.17640688
0.019165864,0.013762533,0.4981331
0,0.20381618,0.18879154
0,0.12315746,0.070540726
0,0.003507719,0.15424748
0,0.06229939,0.07967709
0.020523937,0.004949213,2.83E-05
0,0.051865384,0.020469846
0,0.003615235,0.029490013
0,0.003638889,0.011293188
0,0.00280041,0.03187054
0.041072074,0,0.022850685
0,0.005626728,0.039391965
0,0.0053306,0.1741511
0.040455002,0.10797066,0.12751935
0,0.005998678,0.02980928
0.020058893,0.029193401,0.028991837
0,0.010164019,0.18487808
0,0.000900986,0.041052002
0,0,0.12950736
0.020423202,0.09036238,0.15361859
0.020114338,0.16786864,0.24080628
0.020479752,0.003467497,0
0.020329386,0.009102536,0.013084575
0.020473462,0.002215926,0.010033597
0,0.04411794,0.034926914
0.040541638,0.002933738,0.016788417
0.019247653,0.5264126,0.032726254
0.019755611,0.28226352,0.010588304
0,0.12335729,0.17767821
0,0.005992612,0.32738593
0,0.034240592,0.39442477
0.020486536,0.001287363,0.26116076
0.020468721,0.003113313,0.040017106
0,0.008201132,0.029328227
0,0.023428936,0.28623345
0,0.03630912,0.1270898
0.020551592,0.0528117,0.27765527
0,0.019034281,0.12782955
0,0.002047807,0.11568129
0.020425903,0.22246496,0.22373101
0.02001936,0.024161702,0.27453378
0,0.009516039,0.016320977
0,0.006960921,0.029641313
0,0,0.016506419
0.020109352,0.016425747,0.28918
0,0.05477051,0.22279769
0,0.006973079,0.02079762
0.13903469,0.00752259,0.000785745
0.020508425,0.000605124,0.068028085
0.01966551,0.010063746,0.18692991
0.019581966,0.076327935,0.07944838
0.020477235,0.021202419,0.019366072
0,0.002811065,0.075152025
0,0.15216503,0.073025376
0.09995569,0.28050864,0.1990554
0.040495668,0.2396494,0.103854336
0.020416016,0.00339063,0.044498887
0,0.003253652,0.068472266
0,9.35E-06,7.80E-05
0,0.018217161,0.10170258
0.020175591,0.040764872,0.16145812
0,0.009218594,0.011419634
0.039351504,0.13874239,0.1641665
0.020305132,0.5565536,0.15905003
0.06102237,0.1672637,0.08465162
0,0,0
0.080656245,0.004856568,0.06282385
0.03981708,0.24724515,0.00880074
0.019294333,0,0.20999563
0.040946197,0.06051579,0.41137317
0.020086767,0.17306027,0.062661365
0,0.08557016,0.045835722
0,0.032676265,0.1339163
0.020545354,0.1974778,0.11863939
0,0.027454043,0.16139066
0,0,0
0,0.1505251,0.10723768
0,0.12835217,0
0.059187505,0.0810885,0.12275569
0,0.018039709,0.3726179
0,0.03854943,0.00499875
0,0,0
0.040947214,0.010216466,0.027185922
0.020467624,0.003492169,0.010119394
0,0.22710215,0.113847144
0.020357639,0.01032938,0.04623371
0.039485082,0.012657247,0.019386647
0.020173043,0.03605204,0.03522962
0.081501596,0.013922163,0.109841034
0.039910343,0.030141829,0.12572229
0.039987866,0,0.010300928
0.02045339,0,0.23202442
0,0.009430218,0.009716017
0,0.016360505,0
0.0204195,0.20102683,0.005123197
0.02046217,0.007883623,0.118123025
0.02026508,0.03718371,0.22205642
0,0.09107836,0.37140468
0,0.15509355,0.08313071
0.020246841,0.00266254,0.006375851
0.06155723,0.0930959,0.1313174
0,0.17151953,0.032690674
0.02029986,0.24659464,0.20089193
0,0.12044068,0.15730333
0.040154025,0,0.1307875
0,0.24639755,0.008007098
0,0.12219574,0.22780226
0,0.14024866,0.044421773
0.02034324,0.18804707,0.07776691
0,0.16081062,0.20373495
0.040824648,0.049978036,0.002343841
0.040903375,0.015998237,0.046590988
0,0.3690645,0.1357926
0,0.021778928,0.006026272
0.02031137,0,0.14373975
0,0.2812848,0.12895475
0,0.002012829,0.021528605
0.019879619,0.053676367,0.08315239
0,0.002433853,0.036473285
0.04092105,0.051672753,0.065306686
0,0.000373035,0.11965454
0,0.025832871,0.09422638
0,0.00354475,0.16164112
0.079872325,0.13003848,0.1920857
0.040162954,0.03070305,0.1939738
0,0.002685404,0.026326654
0,0.005476095,0.08189058
0,0.29152524,0.19270729
0.020451559,0,0.32361716
0,0.003351224,0.12896056
0.020536356,0.044529676,0.1942751
0.12204344,0.049967382,0.11795695
0,0.44313586,0.08539283
0.019578477,0.30612502,0.31213215
0.02035628,0.41085368,0.18175286
0.08085529,0.50861835,0.084212355
0.081398755,0.03169853,0.17355014
0.100893475,0.11432355,0.103911914
0.020385263,0.02019517,0.07200445
0,0.16861147,0.1840839
0,0.04626264,0.07543321
0.020559484,0.1523841,0.009632408
0,0.03199962,0.11507027
0,0,0
0,0.058226306,0.016513716
0,0.029128486,0.16265611
0,0.007190083,0.12626985
0.040838756,0.4920492,0.41582784
0.04084408,0,0.3165598
0.040102575,0.37543,0.030795045
0,0.011073682,0.6907167
0,0.014085949,0.045768954
0,0.015337104,0.005506615
0,0.03562362,0.005672359
0,0.04557714,0.04073593
0.020348202,0.07508924,0.4881849
0,0.003102239,0.0545987
0.020426348,0.113011666,0.18348981
0.040722866,0.003256215,0.012465156
0.020391688,0.15257108,0.1153608
0.020070948,0.024532357,0.05751603
0,0.30705127,0.22970204
0,0.01203933,0.25003633
0,0.13947041,0.14684573
0,0.007853632,0.052966222
0.08087375,0.52700025,0
0.02043089,0.011415678,0.33409467
0.020183126,0.23788273,0
0.061149918,0.131148,0.41136262
0,0,0
0.04107537,0.060545515,0
0.102589,0.013808558,0.76514846
0.018393349,0.1441393,0.035419594
0.020429427,3.54E-05,0.047672123
0.020224415,0.006469609,0.056885716
0,0.40194973,0.1929896
0.020472856,0.10637327,0.08437166
0,0.4342128,0.0836648
0.020405497,0.20262136,0.36233634
0.020492015,0.26464456,0.010360513
0,0,0.44073802
0.040952154,0.08279814,0.18905202
0.05681353,0.044491176,0.12311378
0.019822095,0.002123592,0.062174194
0.040285718,0.01281233,0.027600473
0.058908574,0.022444544,0.024927812
0.02034788,0,0.31365335
0.08043436,0,0.42199323
0,0.14094807,0.2561478
0.040252052,0.023788488,0.16048768
0.020211495,0,0.05332616
0,0.30278194,0.040271863
0.039255988,0.12890951,0.2317468
0,0.20069373,0
0,0.12519152,0.050553452
0,0.25694728,0.005087295
0,0.29843733,0.05368958
0,0.019605292,0.038815916
0,0.031740494,0.009229424
0,0.037274912,0.21219186
0.041042473,0,0.10537212
0.040666167,0.348013,0.25757304
0.13291508,0.006795357,0.036203954
0.03970899,0.026523,0.016490143
0,0.05500411,0.26462993
0.020531336,0.24796861,0
0.019922698,0.01618231,0.08724079
0.121738896,0.43275195,0.11547357
0,0.075394385,0.0352928
0,0.21921138,0.11106399
0.040628523,0.39573178,0.07425405
0,0.006248133,0.07804852
0,0.11431124,0.51080245
0.04039877,0.3859566,0.22212203
0,0.009748986,0.018000089
0.020272203,0.017206015,0.2600883
0.058417432,0.27783814,0.3034243
0.057019133,0.05588579,0.020388344
0.019574143,0.008802887,0.01634075
0,0.26628602,0.087878115
0.060799036,0.20388949,0.09835571
0,0.19916317,0.07076377
0,0.008200258,0.20269126
0,0.039941084,0.043931905
0.020292224,0.005260272,0.07627738
0,0.00259431,0.001002503
0,0.36261874,0.054186404
0.020460814,0.02947894,0.000566845
0,0.31543484,0
0.020271264,0.009280804,0.017350502
0.07857754,0.006713835,0.016565742
0.039898608,0,0.04571757
0.020309348,0.017593563,0.11908481
0,0,0.03209404
0,0,0.037642416
0.020307938,0.22867486,0.006699418
0.020077897,0.36583403,0.084295265
0.020327315,0.26129338,0.047808044
0.04067437,0.12845883,0.11906032
0.040709432,0.010359651,0.12857908
0.05899498,0.01019589,0.05910797
0,0.00090079,3.92E-05
0,0.0781908,0.08652324
0.020543046,0.01922381,0.105836205
0,0.31390396,0.008987661
0,0.23591457,0.046002496
0,0.038915962,0.17064677
0,0.033718504,0.09547915
0.04107245,0.16660708,0.088079706
0.020331634,0.004869957,0.078529716
0,0.53428686,0.08196191
0.020133667,0.18099183,0.043734934
0.020463228,0.16889986,0.15533705
0,0,0
0,0.209336,0.05964899
0.020496229,0.036394272,0.10896763
0.040447958,0.40819588,0.32800215
0.020325774,0.4110464,0.060742427
0,0.30386728,0.07755586
0,0.006472409,0.068420805
0.019969886,0.048565496,0.23672357
0.102004215,0.6102065,0.29590598
0.039981537,0.01661992,0.08082582
0.04076976,0.17992632,0.11758681
0,0,0
0,0.5212823,0.18948399
0.07807905,0.011818429,0.008768978
0.060756955,0.0724011,0.042792607
0,0.03904913,0.04325098
0,0.003490748,0.017981568
0.040424984,0.010452036,0.04711982
0,0.002783123,0.006877101
0,0.000538932,0.011819573
0,0.47559735,0
0,0,0.09118155
0.04105945,0.13812299,0.05476895
0.12168637,0.23256446,0.079027824
0.02037484,0.027047906,0.22084472
0,0.006338858,0.031903394
0,0.08535102,0.009029764
0.02049177,0.007767736,0.020648208
0.060139045,0,0.002635099
0.06057617,0.002743635,0.0411078
0,0.008625767,0.011501804
0,0.014926805,0.005406919
0,0.0125974,0.053248778
0,0.004326544,0.04010966
0,0.10751432,0.022376003
0.039435472,0.003514131,0.014334306
0.058211084,0.32490617,0.04512382
0.07660077,0.23797645,0.32092896
0.020333027,0.30830988,0.12375763
0,0.012833293,0.13275482
0.040901735,0.35125014,0.11288892
0.10177065,0,0.02745738
0,0.14010458,0.18870497
0,0.055671375,0.11262938
0.01985886,0.38009927,0.18089646
0,0,0.007997545
0,0.021155253,0.020492882
0.04083682,0.04530808,0.123555124
0.020466287,0.038690884,0
0.119619794,0.15664786,0.06208991
0.058252815,0.036430895,0.041112173
0,0.08997038,0.12092219
0,0.00817537,0.075174496
0,0.006511725,0.032050755
0.06077388,0,0.36475676
0.020021856,0.021602478,0.03509535
0.020448966,0.013152165,0.07484603
0,0,0.5711788
0,0.316651,0.590807
0,0.31859723,0.571213
0.020527799,0.015940135,0.007191509
0,0.016154917,0.017875623
0.019668825,0.004419365,0.111698434
0,0.004863091,0.001077444
0,0.003243427,0.014681846
0.04111666,0.006621202,0.014758588
0.020509917,0.039267793,0.042539872
0.020419704,0.006698168,0.022661112
0.02045164,0.12519261,0.08777716
0.020497756,0.010192424,0.068107955
0.020386746,0.046277758,0.26971146
0.020076184,0.05379101,0.0838331
0.08202424,0.12812498,0.029817006
0.08065092,0.000334833,0.010316403
0,0.048836228,0.13194636
0,0.005621187,0.056860592
0.020527175,0.015501297,0.008077061
0,0.09114481,0.003583547
0,0,0.03221882
0.020543342,0.022559686,0.18313757
0.06146148,0.06423597,0.25121313
0,0.20982963,0.087530576
0,0.09543602,0.09902352
0.02050993,0.064444214,0.03632345
0.020527354,0.02593967,0.01118434
0.03974819,0.6670508,0
0.01997319,0.05363608,0.07799622
0,0.003758234,0.013852702
0.020416498,0.057394534,0.025925564
0,0.0710536,0.032373723
0,0.009468238,0.06384446
0,0,0
0.020280175,0.039596707,0.01360531
0.020423103,0.34711453,0.0488049
0.020193178,0.054253872,0.058738414
0.21888421,0.36623517,0.10418646
0,0.008999957,0.002832599
0,0.008825609,0.042992767
