A,B,C
0,0.004760626,0.075038254
0.030664213,0.003795035,0.020614767
0.030694444,0.009489675,0.021992326
0.030731821,0.25271404,0.012053594
0,0.025891347,0.037136067
0,0.007834863,0.14913842
0.061342012,0.024948843,0.009643262
0.03067139,0.10661489,0.110944696
0,0.040496763,0.030491887
0,0.03854184,0.2695618
0,0.028588515,0.2645157
0.061312318,0.24119109,0.060397357
0.030458743,0.033249065,0.009618328
0,0.005212164,0.063710645
0.030121917,0.003299254,0.023515886
0.030743502,0.01045557,0.039566964
0.030693704,0.007948097,0.060778745
0,0.024873322,0.05595195
0,0.013819292,0.01525429
0.029034518,0.013559609,0.16605188
0,0.03254398,0.09692778
0,0.005626278,0.049267694
0,0.011771594,0.026584653
0.030344702,0.02507424,0.04828025
0.03071633,0.022334158,0.057485044
0,0.06981211,0.020810738
0,0.021433106,0.21115258
0,0.014918931,0.028209366
0,0,0
0.18048427,0.009846804,0.0541057
0,0,0
0,0.006127747,0
0,0.022823898,0.19382854
0.14863454,0.001546705,0.18784678
0,0.010281757,0.07835767
0,0.012679326,0.007496298
0,0.021279538,0.057393305
0.060706634,0.044451848,0.024688225
0.030524464,0.11857896,0.11922989
0,0.054551773,0.13387269
0,0.06761279,0.040944103
0.030642582,0.026552893,0.05166009
0,0.013293895,0.103385895
0,0.032854173,0.016618494
0.029681958,0.005790202,0.018918987
0,0.16799985,0.1176003
0,0.02262019,0.16969036
0.06111772,0.011213917,0.04737618
0.18066718,0.16466881,0
0,0.14034076,0.03454762
0,0.10859624,0.09561588
0,0.010982171,0.013839983
0.03062796,0.000996798,0.09046517
0.030678544,0.021416092,0.21544017
0,0.01296869,0.02334146
0,0.029611794,0.065166675
0,0.011028371,0.005802629
0.030192073,0.20827611,0.01284341
0,0.012771668,0.045530174
0,0.06064485,0.005578734
0.06125961,0.002408859,0.029740611
0,0.004510633,0.026257569
0,0.046851058,0.057890628
0.030359155,0.006551752,0.0358409
0.030150114,0.1268594,0.011951879
0.09131107,0.006149262,0.007755115
0.06144226,0.027053233,0.010515255
0,0.034505595,0.11069891
0.030376323,0.010169559,0.043336045
0,0.122618675,0.027191987
0,0.020098688,0.059669293
0,0.010250188,0.06802401
0,0.06456695,0.003846595
0,0.008271859,0.0671958
0,0.022631455,0.037888974
0,0.077171296,0.19606628
0,0.004596312,0.09031583
0,0.002442713,0.031236926
0,0.2981286,0
0,0.006287816,0.03699358
0,0,0.013340183
0.060622185,0.020613555,0.019655446
0,0.008395473,0.06747214
0,0.038629726,0.03314188
0.03069561,0.4004275,0.104398966
0,0.034029126,0.08549988
0.12100136,0.32457855,0
0.121482536,0.30200416,0
0.061218962,0.0234953,0.04431562
0,0.008496593,0.015826095
0.030780192,0.20076579,0.042002335
0,0.018896632,0.05451163
0.060345996,0.014001471,0.03325759
0.030712007,0.010292791,0.07450387
0.030753113,0.004529181,0.032006808
0,0.013861971,0.022759767
0,0.004942009,0.007621111
0.089524426,0.049862448,0.04247658
0.03067755,0.56594473,0
0.030621648,0.004305181,0.19839913
0.15157014,0.09612603,0.021155454
0.030489618,0.003724427,0.002775536
0.06096721,0.019904995,0.051576346
